,Astrocytes,"Astrocytes, cycling",B cells,DE,DI,Ependymal cells,"Infiltrating, bordering leukocytes",Mature oligodendrocytes (MOL),"Mature oligodendrocytes (MOL), ischemic",Microglia,Myelin forming oligodendrocytes (MFOL),"Myeloid, dividing","NK, T cells",Newly formed oligodendrocytes (NFOL),Oligodendrocytes precursor cells (OPC),"Oligodendrocytes precursor cells (OPC), differentiating",Pericytes,Peripheral macrophages,VE,VI,Vascular endothelial cells,Vascular leptomeningeal cells
Gins2,0.01604647,0.17819716,0.0054814206,0.037624586,0.03461978,0.004647568,0.013890904,0.025145076,0.05865351,0.0167439,0.011276349,0.08304547,0.004036737,0.02339364,0.021872154,0.018518267,0.0034476414,0.02259109,0.06789093,0.058324195,0.0145056555,0.017404012
Cox4i1,0.27458674,0.11698162,0.014702834,4.248975e-05,6.2598076e-05,0.028872339,0.00166478,0.00012385612,0.00022451712,0.00018796521,0.0005406401,0.0028519824,0.012695263,6.60149e-05,0.00026372776,0.0006877901,0.033338245,0.00031602572,0.003240007,8.027596e-05,0.19359419,0.06382451
Mthfsd,0.11954488,0.17470632,0.016214255,0.13995673,0.20291165,0.09539438,0.048721302,0.07872809,0.15822907,0.048857033,0.038527004,0.07221656,0.022069477,0.11724736,0.07039977,0.085297324,0.057754014,0.061100844,0.52394503,0.5733145,0.05341019,0.09139151
Fbxo31,0.19626947,0.1292358,0.004160606,0.18550964,0.29079196,0.06870746,0.009600316,0.17546284,0.23807128,0.0032892085,0.10527662,0.01770995,0.012511821,0.1753417,0.10723247,0.087587394,0.04600263,0.010193618,0.61248666,0.65863335,0.029119655,0.052322652
Zcchc14,0.66573936,0.9658733,0.04367982,0.89889735,1.0439168,0.3995086,0.12458779,0.39290446,0.73023355,0.22832675,0.24263708,0.3297935,0.024300838,0.56294024,0.5721892,0.57402194,0.9471088,0.13161449,1.3900505,1.366025,0.70234096,0.6936351
Klhdc4,0.095194675,0.16225196,0.023912823,0.0912569,0.12223992,0.053398106,0.04080773,0.03585453,0.065142244,0.033124883,0.020081397,0.08311998,0.0221099,0.06288528,0.065644555,0.06121321,0.03844838,0.067684114,0.18784109,0.19718619,0.054168742,0.050546575
Slc7a5,0.5343486,0.70937884,0.052956056,0.06865184,0.14016572,0.067493714,0.023056995,3.3486984e-05,0.00023112593,0.010838259,1.8491986e-05,0.024479311,0.05700754,0.0062327827,0.08045963,0.11759917,0.10661146,0.006874967,0.18772936,0.15795822,3.764376,0.1566565
Car5a,0.004810777,0.012660263,0.00423227,0.00096075906,0.0019106123,0.00208976,0.00079868716,8.3405255e-05,0.0004383512,0.00075708766,5.341888e-05,0.002156567,0.0022562298,0.00095450523,0.0014828044,0.002487249,0.0058354074,0.00042854538,0.0053936536,0.004774082,0.09559942,0.003935572
Cyba,0.013990957,0.02452812,0.27776104,3.2170163e-05,6.101804e-05,0.008084637,0.50514823,7.5932825e-05,0.00040276366,0.4642508,6.6997905e-05,0.4995114,0.36445352,5.051344e-05,8.0162754e-05,0.001466366,0.0673083,0.5810544,7.8895544e-05,8.9399065e-05,0.23438388,0.16691583
Mvd,0.046428915,0.022819653,0.005887924,0.01319664,0.033901587,0.007288067,0.01641415,0.03925214,0.086936295,0.00882915,0.017295362,0.010318783,0.0077552274,0.11384377,0.035292253,0.023441056,0.003535836,0.021561889,0.054810636,0.05601347,0.007180874,0.007711061
