Martian Runtime - v4.0.12
Serving UI at http://osd06:45583?auth=TCOmH9_CTtaYoAurj8RyEAD-jgLRdI69ZAAgR-bxIjc

Running preflight checks (please wait)...
2024-12-04 10:21:12 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.VDJ_AGGR.MATCH_VDJ_AGGR_OUTS
2024-12-04 10:21:12 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.VDJ_AGGR.COPY_VDJ_REFERENCE
2024-12-04 10:21:13 [runtime] (chunks_complete) ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.ANALYZER_PREFLIGHT
2024-12-04 10:21:13 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.PREPROCESS_MATRIX
2024-12-04 10:21:13 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.PREPROCESS_MATRIX.fork0.split
2024-12-04 10:21:14 [runtime] (split_complete)  ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.PREPROCESS_MATRIX
2024-12-04 10:21:14 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.PREPROCESS_MATRIX.fork0.join
2024-12-04 10:21:45 [runtime] (join_complete)   ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.PREPROCESS_MATRIX
2024-12-04 10:21:45 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_BATCH_CORRECTION_PCA.PCA_PREP
2024-12-04 10:21:45 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER._ANTIGEN_ANALYZER.SUMMARIZE_ANTIBODY_ANALYSIS
2024-12-04 10:21:45 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER._ANTIBODY_ANALYZER.SUMMARIZE_ANTIBODY_ANALYSIS
2024-12-04 10:21:45 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_MULTIGENOME_ANALYSIS
2024-12-04 10:21:45 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_MULTIGENOME_ANALYSIS.fork0.split
2024-12-04 10:21:45 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER._ANTIGEN_ANALYZER.CALL_ANTIBODIES
2024-12-04 10:21:45 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER._ANTIBODY_ANALYZER.CALL_ANTIBODIES
2024-12-04 10:21:45 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_BATCH_CORRECTION_PCA.RUN_PCA2
2024-12-04 10:21:45 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_BATCH_CORRECTION_PCA.POST_PCA
2024-12-04 10:21:45 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.CORRECT_CHEMISTRY_BATCH
2024-12-04 10:21:45 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_PCA
2024-12-04 10:21:45 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_PCA.fork0.split
2024-12-04 10:21:45 [runtime] (split_complete)  ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_PCA
2024-12-04 10:21:45 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_PCA.fork0.chnk0.main
2024-12-04 10:21:45 [runtime] (split_complete)  ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_MULTIGENOME_ANALYSIS
2024-12-04 10:21:45 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_MULTIGENOME_ANALYSIS.fork0.join
2024-12-04 10:21:46 [runtime] (join_complete)   ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_MULTIGENOME_ANALYSIS
2024-12-04 10:23:08 [runtime] (chunks_complete) ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_PCA
2024-12-04 10:23:08 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_PCA.fork0.join
2024-12-04 10:23:08 [runtime] (join_complete)   ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_PCA
2024-12-04 10:23:08 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_GRAPH_CLUSTERING
2024-12-04 10:23:08 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_GRAPH_CLUSTERING.fork0.split
2024-12-04 10:23:08 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_TSNE
2024-12-04 10:23:08 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_TSNE.fork0.split
2024-12-04 10:23:08 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_UMAP
2024-12-04 10:23:08 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_UMAP.fork0.split
2024-12-04 10:23:08 [runtime] (ready)           ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_KMEANS
2024-12-04 10:23:08 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_KMEANS.fork0.split
2024-12-04 10:23:08 [runtime] (split_complete)  ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_UMAP
2024-12-04 10:23:08 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_UMAP.fork0.chnk0.main
2024-12-04 10:23:08 [runtime] (split_complete)  ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_GRAPH_CLUSTERING
2024-12-04 10:23:08 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_GRAPH_CLUSTERING.fork0.chnk0.main
2024-12-04 10:23:08 [runtime] (split_complete)  ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_TSNE
2024-12-04 10:23:08 [runtime] (run:local)       ID.Sample_1.SC_RNA_AGGREGATOR_CS.COUNT_AGGR.SC_RNA_AGGREGATOR.SC_RNA_ANALYZER.RUN_TSNE.fork0.chnk0.main
